model,model_id,family,params_b,tokenizer_class,category,revision,grammar_valid_rate,gate_pass_rate,recovery_rate,mean_latency_s
Qwen2.5-Coder-0.5B-Instruct,Qwen/Qwen2.5-Coder-0.5B-Instruct,Qwen2,0.5,Qwen2TokenizerFast,runs,ea3f2471cf1b,1.0,1.0,0.0,5.62
Qwen2.5-Coder-1.5B-Instruct,Qwen/Qwen2.5-Coder-1.5B-Instruct,Qwen2,1.5,Qwen2TokenizerFast,runs,2e1fd397ee46,1.0,1.0,0.0,6.07
Qwen2.5-Coder-3B-Instruct,Qwen/Qwen2.5-Coder-3B-Instruct,Qwen2,3.0,Qwen2TokenizerFast,runs,488639f1ff80,1.0,1.0,0.0,7.96
Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct,Qwen2,1.5,Qwen2TokenizerFast,runs,989aa7980e4c,1.0,0.0,0.0,6.27
TinyLlama-1.1B-Chat-v1.0,TinyLlama/TinyLlama-1.1B-Chat-v1.0,Llama,1.1,LlamaTokenizerFast,runs,fe8a4ea1ffed,0.0,0.0,0.0,4.04
deepseek-coder-1.3b-instruct,deepseek-ai/deepseek-coder-1.3b-instruct,Llama,1.3,LlamaTokenizerFast,runs,e063262dac83,1.0,1.0,0.0,4.5
SmolLM2-1.7B-Instruct,HuggingFaceTB/SmolLM2-1.7B-Instruct,Llama,1.7,GPT2TokenizerFast,runs,31b70e2e869a,0.0,0.0,0.0,4.48
granite-3.0-2b-instruct,ibm-granite/granite-3.0-2b-instruct,Granite,2.5,GPT2TokenizerFast,runs,5ad66c190631,0.0,0.0,0.0,7.99
Phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,Phi3,3.8,LlamaTokenizerFast,runs,f39ac1d28e92,1.0,0.0,0.0,7.58
stable-code-instruct-3b,stabilityai/stable-code-instruct-3b,StableLm,2.8,GPTNeoXTokenizerFast,fail_unsupported_tokenizer,20e21f0e817b,,,,
starcoder2-3b,bigcode/starcoder2-3b,Starcoder2,3.0,GPT2TokenizerFast,fail_no_chat_template,733247c55e3f,,,,
